LAND,REGION,NETZ,ANLAGEN_NR,Zustand 2022
NW,W,Hagen,16000574,mangelhaft
NW,W,Hagen,16000576,mangelhaft
NW,W,Hagen,16000577,schlecht
NW,W,Hagen,16000583,schlecht
NW,W,Hagen,16000591,schlecht
NW,W,Hagen,16000592,schlecht
NW,W,Hagen,16000593,mangelhaft
NW,W,Hagen,16000597,mangelhaft
NW,W,Hagen,16000629,mangelhaft
NW,W,Hagen,16000633,schlecht
NW,W,Hagen,16000660,schlecht
NW,W,Hagen,16000664,schlecht
RP,W,Hagen,16000677,mangelhaft
NW,W,Hagen,16000684,schlecht
NW,W,Hagen,16000685,schlecht
NW,W,Hagen,16000688,mangelhaft
NW,W,Hagen,16000698,schlecht
NW,W,Hagen,16000699,mangelhaft
NW,W,Hagen,16000700,schlecht
NW,W,Hagen,16000717,mangelhaft
NW,W,Hagen,16000729,schlecht
NW,W,Duisburg,16000735,mangelhaft
NW,W,Duisburg,16000736,mangelhaft
NW,W,Duisburg,16000737,schlecht
NW,W,Hagen,16000740,mangelhaft
NW,W,Duisburg,16000749,mangelhaft
NW,W,Duisburg,16000756,mangelhaft
NW,W,Duisburg,16000766,mangelhaft
NW,W,Duisburg,16000767,mangelhaft
NW,W,Duisburg,16000774,schlecht
SH,N,Kiel,16000780,mangelhaft
NI,N,Hamburg,16000825,mangelhaft
NW,W,Hagen,16000836,mangelhaft
NW,W,Hagen,16000891,schlecht
NW,W,Hagen,16000893,mangelhaft
NI,N,Hamburg,16000918,mangelhaft
SH,N,Kiel,16000936,mangelhaft
SH,N,Kiel,16000974,mangelhaft
SH,N,Kiel,16000985,schlecht
SH,N,Kiel,16000988,schlecht
SH,N,Kiel,16001006,schlecht
HH,N,Hamburg,16001038,schlecht
NW,W,Hagen,16001052,schlecht
NW,W,Hagen,16001078,schlecht
NW,W,Hagen,16001081,schlecht
NW,W,Hagen,16001087,schlecht
NW,W,Hagen,16001117,schlecht
NW,W,Hagen,16001131,schlecht
NW,W,Hagen,16001134,mangelhaft
NW,W,Hagen,16001135,schlecht
NW,W,Hagen,16001205,schlecht
SH,N,Kiel,16001298,schlecht
SH,N,Kiel,16001301,schlecht
SH,N,Kiel,16001308,schlecht
SH,N,Kiel,16001329,schlecht
SH,N,Kiel,16001332,mangelhaft
SH,N,Kiel,16001361,mangelhaft
HH,N,Hamburg,16001467,schlecht
HH,N,Hamburg,16001470,schlecht
HH,N,Hamburg,16001484,mangelhaft
HH,N,Hamburg,16001500,schlecht
HH,N,Hamburg,16001501,schlecht
HH,N,Hamburg,16001514,schlecht
HH,N,Hamburg,16001526,mangelhaft
HH,N,Hamburg,16001536,schlecht
HH,N,Hamburg,16001538,mangelhaft
NW,W,Hagen,16001549,schlecht
HH,N,Hamburg,16001577,mangelhaft
NW,W,Hagen,16001609,schlecht
NW,W,Hagen,16001614,mangelhaft
NW,W,Hagen,16001625,schlecht
RP,W,Hagen,16001641,schlecht
RP,W,Hagen,16001646,schlecht
RP,W,Hagen,16001647,schlecht
NW,W,Hagen,16001650,schlecht
RP,W,Hagen,16001660,schlecht
