LAND,REGION,NETZ,ANLAGEN_NR_FABA,ANLAGEN_NR_LST,Zustand 2022
NI,N,Hamburg,14000715,14010748,mangelhaft
HH,N,Hamburg,14000727,14010714,mangelhaft
HH,N,Hamburg,14000729,14010712,schlecht
SH,N,Hamburg,14000739,14047158,schlecht
SH,N,Hamburg,14000746,14069765,schlecht
NI,N,Hamburg,14000770,14010684,schlecht
NI,N,Hamburg,14000771,14010683,mangelhaft
NI,N,Hamburg,14000776,14010679,schlecht
NI,N,Bremen,14000791,14010660,mangelhaft
NI,N,Bremen,14000793,14010657,schlecht
NI,N,Bremen,14000807,14010800,schlecht
NI,N,Hamburg,14000816,l,schlecht
NI,N,Hamburg,14000837,14021329,schlecht
NI,N,Bremen,14000845,14010894,schlecht
SH,N,Kiel,14000922,14079108,schlecht
SH,N,Kiel,14000937,14053044,schlecht
SH,N,Kiel,14000985,14085655,schlecht
SH,N,Kiel,14000993,14037623,schlecht
SH,N,Kiel,14000994,14039599,schlecht
SH,N,Kiel,14000995,14037622,schlecht
SH,N,Kiel,14001011,14058237,schlecht
SH,N,Kiel,14001087,14011258,schlecht
SH,N,Kiel,14001106,14011385,schlecht
SH,N,Kiel,14001114,14011364,schlecht
SH,N,Kiel,14001116,14065268,mangelhaft
SH,N,Kiel,14001129,14058230,schlecht
SH,N,Kiel,14001149,14090474,schlecht
NI,N,Hamburg,14001167,14085644,schlecht
NI,N,Hamburg,14001168,14054852,schlecht
NI,N,Bremen,14001218,14015735,mangelhaft
NI,N,Bremen,14001222,14015746,schlecht
NI,N,Bremen,14001247,14016009,schlecht
NI,N,Bremen,14001253,14016071,mangelhaft
NI,N,Osnabrück,14001264,14016147,schlecht
RP,MI,Mainz,14001273,14039160,schlecht
RP,MI,Mainz,14001274,14011636,schlecht
RP,MI,Mainz,14001277,14011645,schlecht
HE,MI,Mainz,14001301,14011821,schlecht
HE,MI,Mainz,14001302,14072937,schlecht
HE,MI,Frankfurt (Main),14001308,14014305,mangelhaft
HE,MI,Frankfurt (Main),14001311,14014462,schlecht
HE,MI,Frankfurt (Main),14001312,14014416,schlecht
HE,MI,Frankfurt (Main),14001313,14014773,mangelhaft
HE,MI,Frankfurt (Main),14001316,14014537,mangelhaft
HE,MI,Mainz,14001324,14014502,mangelhaft
HE,MI,Frankfurt (Main),14001325,14014600,mangelhaft
HE,MI,Frankfurt (Main),14001326,14014607,schlecht
HE,MI,Mainz,14001327,14014571,mangelhaft
RP,MI,Frankfurt (Main),14001332,14014716,schlecht
HE,MI,Mainz,14001336,14014688,schlecht
HE,MI,Mainz,14001342,14014659,mangelhaft
NW,W,Hagen,14001372,14012393,schlecht
RP,W,Hagen,14001374,14012398,schlecht
NW,W,Hagen,14001378,14012408,mangelhaft
NW,W,Hagen,14001379,14012412,schlecht
RP,W,Hagen,14001386,14012427,schlecht
NW,W,Hagen,14001396,14060700,schlecht
NW,W,Hagen,14001397,14024703,einschränkend
NW,W,Hagen,14001399,14012280,mangelhaft
NW,W,Hagen,14001415,14012333,mangelhaft
NW,W,Hagen,14001416,14012331,mangelhaft
NW,W,Hagen,14001422,14012340,schlecht
NW,W,Hagen,14001423,14012339,mangelhaft
NW,W,Hagen,14001425,14012344,mangelhaft
NW,W,Duisburg,14001427,14012350,schlecht
NW,W,Hamm,14001433,14012687,einschränkend
NW,W,Hamm,14001434,14012685,schlecht
NW,W,Duisburg,14001443,14012636,einschränkend
NW,W,Duisburg,14001449,14084055,schlecht
NW,W,Duisburg,14001450,14012651,mangelhaft
NW,W,Duisburg,14001451,14012650,mangelhaft
NW,W,Duisburg,14001452,14087291,schlecht
NW,W,Duisburg,14001458,14012665,mangelhaft
NW,W,Duisburg,14001459,14025203,mangelhaft
NW,W,Duisburg,14001460,14081189,mangelhaft
NW,W,Duisburg,14001465,14039441,schlecht
NW,W,Duisburg,14001468,14012551,schlecht
NW,W,Duisburg,14001470,14012563,mangelhaft
NW,W,Duisburg,14001484,14012601,schlecht
NW,W,Duisburg,14001488,14068484,schlecht
NW,W,Hamm,14001490,14012499,schlecht
NW,W,Hamm,14001491,14012455,mangelhaft
NW,W,Hamm,14001500,14012501,schlecht
NW,W,Hamm,14001519,14012756,mangelhaft
NW,W,Duisburg,14001523,14012734,schlecht
NW,W,Duisburg,14001525,14064294,schlecht
NW,W,Duisburg,14001542,14021284,mangelhaft
NW,W,Duisburg,14001545,14012864,mangelhaft
NW,W,Hamm,14001551,14012978,schlecht
NW,W,Hamm,14001559,14012917,schlecht
NW,W,Hamm,14001568,14013046,mangelhaft
NW,W,Duisburg,14001581,14012622,schlecht
RP,MI,Mainz,14001583,14089914,mangelhaft
RP,MI,Mainz,14001585,14089912,schlecht
NI,N,Bremen,14001606,14013300,schlecht
NI,N,Bremen,14001620,14013238,schlecht
NI,SO,Halle,14001621,14013780,schlecht
NI,SO,Halle,14001622,14013778,schlecht
NI,N,Hannover,14001625,14088661,schlecht
NI,N,Hannover,14001630,14013855,mangelhaft
NI,N,Hannover,14001632,14013846,einschränkend
HE,MI,Kassel,14001648,14071562,schlecht
HE,MI,Kassel,14001649,14014122,schlecht
NW,W,Hagen,14001650,14014126,schlecht
NW,W,Hagen,14001651,14016494,schlecht
NW,W,Hamm,14001656,14014168,mangelhaft
NW,N,Osnabrück,14001658,14039759,schlecht
NI,N,Bremen,14001663,14014079,mangelhaft
BY,S,Nürnberg,14001670,14017260,schlecht
BY,S,Nürnberg,14001671,14064855,schlecht
BY,S,Nürnberg,14001672,14017267,schlecht
BY,S,München,14001711,14020374,schlecht
BY,S,München,14001747,14020346,einschränkend
BY,S,München,14001750,14020354,schlecht
BY,S,München,14001754,14020292,einschränkend
BY,S,München,14001762,14020304,mangelhaft
BY,S,München,14001819,14017133,schlecht
BY,S,München,14001839,14017046,einschränkend
BY,S,München,14001840,14017050,schlecht
BY,S,München,14001845,14017052,mangelhaft
BY,S,München,14001846,14051452,einschränkend
BY,S,München,14001859,14017075,schlecht
BY,S,München,14001863,14017082,schlecht
BY,S,München,14001864,14017081,schlecht
