LAND,REGION,NETZ,ANLAGEN_NR,Zustand 2022
NW,W,Hagen,12000719,mangelhaft
TH,SO,Erfurt,12006238,schlecht
SN,SO,Zwickau,12006477,schlecht
SN,SO,Zwickau,12006579,mangelhaft
SN,SO,Zwickau,12006581,schlecht
TH,SO,Erfurt,12007289,schlecht
TH,SO,Erfurt,12007318,schlecht
TH,SO,Erfurt,12007341,schlecht
TH,SO,Erfurt,12007610,mangelhaft
TH,SO,Erfurt,12007717,schlecht
TH,SO,Erfurt,12007815,mangelhaft
TH,SO,Erfurt,12007826,schlecht
TH,SO,Erfurt,12007833,schlecht
TH,SO,Erfurt,12007834,schlecht
SN,SO,Zwickau,12010432,schlecht
BW,SW,Stuttgart,12012981,mangelhaft
BW,SW,Stuttgart,12013077,mangelhaft
BW,SW,Stuttgart,12013091,schlecht
BW,SW,Freiburg,12013101,schlecht
ST,SO,Magdeburg,12013266,schlecht
BY,S,München,12013278,mangelhaft
RP,MI,Koblenz,12015285,mangelhaft
NW,W,Köln,12015344,mangelhaft
RP,MI,Koblenz,12015361,schlecht
RP,MI,Koblenz,12015369,schlecht
NW,W,Köln,12015383,mangelhaft
NW,W,Köln,12015405,mangelhaft
NW,W,Köln,12015407,mangelhaft
RP,MI,Koblenz,12015415,schlecht
NW,W,Köln,12015505,mangelhaft
NW,W,Köln,12015506,mangelhaft
NW,MI,Koblenz,12015557,mangelhaft
RP,MI,Koblenz,12015641,mangelhaft
RP,MI,Koblenz,12015683,schlecht
RP,MI,Koblenz,12015698,schlecht
RP,MI,Koblenz,12015738,schlecht
RP,MI,Koblenz,12015739,schlecht
RP,MI,Koblenz,12015761,schlecht
RP,MI,Koblenz,12015803,schlecht
RP,MI,Koblenz,12015817,schlecht
RP,W,Köln,12016362,schlecht
NW,W,Köln,12017525,mangelhaft
NW,W,Köln,12017768,mangelhaft
NW,W,Köln,12017813,schlecht
NW,W,Düsseldorf,12017820,schlecht
NW,W,Köln,12017842,mangelhaft
NI,N,Osnabrück,12019763,schlecht
NW,W,Köln,12019806,schlecht
NI,N,Osnabrück,12019808,mangelhaft
NW,W,Köln,12019818,schlecht
NW,W,Düsseldorf,12019861,mangelhaft
RP,MI,Koblenz,12019913,schlecht
NW,W,Köln,12019938,schlecht
NW,W,Köln,12019948,mangelhaft
NW,W,Köln,12019952,mangelhaft
NW,W,Köln,12019968,mangelhaft
RP,MI,Koblenz,12019981,schlecht
RP,MI,Koblenz,12019993,schlecht
RP,MI,Koblenz,12020002,mangelhaft
RP,MI,Koblenz,12020004,schlecht
NW,W,Köln,12020223,schlecht
NW,W,Köln,12020261,mangelhaft
NW,W,Köln,12020297,mangelhaft
NW,W,Köln,12020345,mangelhaft
NW,W,Köln,12020426,mangelhaft
NW,W,Köln,12020455,mangelhaft
NW,W,Köln,12020457,mangelhaft
NW,W,Köln,12020471,mangelhaft
NW,W,Köln,12020707,mangelhaft
NW,W,Köln,12020711,mangelhaft
RP,MI,Koblenz,12020754,schlecht
NW,W,Köln,12020851,mangelhaft
RP,MI,Frankfurt (Main),12020852,schlecht
BW,SW,Stuttgart,12021144,schlecht
BW,SW,Stuttgart,12021613,schlecht
BW,SW,Stuttgart,12021621,mangelhaft
BW,SW,Stuttgart,12021670,mangelhaft
NW,W,Duisburg,12021790,mangelhaft
BW,SW,Stuttgart,12021792,mangelhaft
BW,SW,Stuttgart,12021809,mangelhaft
BW,SW,Stuttgart,12021811,schlecht
BW,SW,Stuttgart,12021832,schlecht
BW,SW,Stuttgart,12021836,mangelhaft
BW,SW,Ulm,12022031,mangelhaft
BW,SW,Ulm,12022040,schlecht
BW,SW,Stuttgart,12022174,schlecht
BW,SW,Stuttgart,12022184,mangelhaft
BW,SW,Stuttgart,12022187,mangelhaft
BW,SW,Stuttgart,12022198,mangelhaft
BW,SW,Ulm,12022199,schlecht
BW,SW,Ulm,12022204,schlecht
BW,SW,Ulm,12022279,schlecht
BW,SW,Ulm,12022285,schlecht
NW,W,Köln,12022303,mangelhaft
NW,W,Köln,12022306,schlecht
BW,SW,Stuttgart,12022343,mangelhaft
NW,W,Köln,12022371,mangelhaft
BW,SW,Stuttgart,12022522,mangelhaft
BW,SW,Ulm,12022541,schlecht
NW,W,Hamm,12025512,mangelhaft
NW,W,Hamm,12025514,mangelhaft
NW,MI,Kassel,12025838,mangelhaft
NI,N,Hannover,12025967,mangelhaft
NI,N,Hannover,12025968,mangelhaft
NW,N,Osnabrück,12026146,mangelhaft
NI,N,Hannover,12026973,mangelhaft
NI,N,Hannover,12028080,schlecht
NI,N,Hannover,12028081,schlecht
NW,W,Düsseldorf,12028796,mangelhaft
NI,N,Bremen,12029356,mangelhaft
RP,SW,Karlsruhe,12029513,schlecht
BW,SW,Stuttgart,12031580,mangelhaft
BW,SW,Stuttgart,12031583,mangelhaft
BE,O,Berlin,12033239,mangelhaft
BE,O,Berlin,12033394,schlecht
BE,O,Berlin,12033484,mangelhaft
BY,S,Nürnberg,12034475,mangelhaft
BY,S,Nürnberg,12034494,schlecht
BY,S,Würzburg,12034590,schlecht
BY,S,Würzburg,12034596,mangelhaft
BY,S,Würzburg,12035475,schlecht
BY,S,Regensburg,12036467,mangelhaft
BY,S,Regensburg,12036510,mangelhaft
BY,S,Regensburg,12036522,schlecht
BY,S,Regensburg,12036552,schlecht
BY,S,Regensburg,12036553,schlecht
BY,S,Regensburg,12036680,mangelhaft
NW,W,Duisburg,12036992,mangelhaft
BY,S,Regensburg,12037150,schlecht
BY,S,Regensburg,12037178,mangelhaft
BY,S,Nürnberg,12037241,schlecht
BY,S,Nürnberg,12037242,schlecht
BY,S,Nürnberg,12037243,schlecht
BY,S,Nürnberg,12037247,schlecht
BY,S,Nürnberg,12037249,mangelhaft
BY,S,Regensburg,12037252,schlecht
BY,S,Regensburg,12037253,schlecht
BY,S,Regensburg,12037274,mangelhaft
NW,W,Duisburg,12038930,schlecht
BY,S,Nürnberg,12039341,schlecht
BY,S,Nürnberg,12039377,mangelhaft
BY,S,München,12040086,mangelhaft
BY,S,München,12040118,schlecht
BY,S,München,12040149,mangelhaft
BY,S,München,12040172,mangelhaft
BY,S,München,12040177,mangelhaft
BY,S,München,12040227,schlecht
BY,S,München,12040238,mangelhaft
BY,S,Südost-Bayernbahn (RNI),12040262,mangelhaft
BY,S,Südost-Bayernbahn (RNI),12040460,mangelhaft
NW,W,Duisburg,12042372,schlecht
BW,SW,Freiburg,12043483,schlecht
HE,MI,Frankfurt (Main),12043753,schlecht
HE,MI,Frankfurt (Main),12043759,schlecht
HE,MI,Frankfurt (Main),12043807,schlecht
SL,SW,Saarbrücken,12043965,mangelhaft
SL,SW,Saarbrücken,12043994,schlecht
SL,SW,Saarbrücken,12044061,schlecht
SL,SW,Saarbrücken,12044198,mangelhaft
SL,SW,Saarbrücken,12044416,schlecht
