LAND,REGION,NETZ,ANLAGEN_NR,Zustand 2022
NW,W,Duisburg,26000066,schlecht
NW,W,Duisburg,26000067,mangelhaft
BW,SW,Freiburg,26000250,schlecht
BW,SW,Karlsruhe,26000261,schlecht
BY,S,München,26000299,mangelhaft
NW,W,Hamm,26000422,schlecht
BW,SW,Freiburg,26000646,mangelhaft
BW,SW,Freiburg,26000647,mangelhaft
BW,SW,Freiburg,26000648,schlecht
BW,SW,Freiburg,26000649,mangelhaft
BW,SW,Freiburg,26000650,mangelhaft
NW,W,Hagen,26000666,schlecht
NW,W,Hagen,26000667,schlecht
BW,SW,Karlsruhe,26000683,schlecht
BW,SW,Karlsruhe,26000684,schlecht
BW,SW,Karlsruhe,26000685,schlecht
BW,SW,Karlsruhe,26000790,schlecht
NW,W,Hagen,26000802,schlecht
BW,SW,Karlsruhe,26000805,schlecht
BW,SW,Karlsruhe,26000806,schlecht
BW,SW,Karlsruhe,26000884,schlecht
HH,N,Hamburg,26000985,schlecht
HH,N,Hamburg,26000986,schlecht
HH,N,Hamburg,26000987,schlecht
HH,N,Hamburg,26000989,schlecht
HH,N,Hamburg,26000990,mangelhaft
HH,N,Hamburg,26001383,mangelhaft
HH,N,Hamburg,26001391,schlecht
HH,N,Hamburg,26001763,mangelhaft
HH,N,Hamburg,26001765,mangelhaft
HH,N,Hamburg,26001767,schlecht
HH,N,Hamburg,26001770,schlecht
HH,N,Hamburg,26001771,mangelhaft
HH,N,Hamburg,26001776,schlecht
HH,N,Hamburg,26001779,schlecht
HH,N,Hamburg,26001780,mangelhaft
HH,N,Hamburg,26001782,schlecht
HH,N,Hamburg,26001783,schlecht
HH,N,Hamburg,26001784,schlecht
HH,N,Hamburg,26001785,schlecht
HH,N,Hamburg,26001786,schlecht
HH,N,Hamburg,26001791,schlecht
HH,N,Hamburg,26001793,schlecht
HH,N,Hamburg,26001794,mangelhaft
HH,N,Hamburg,26001795,schlecht
HH,N,Hamburg,26001799,schlecht
HH,N,Hamburg,26001831,schlecht
HH,N,Hamburg,26001833,schlecht
SH,N,Hamburg,26002000,schlecht
