LAND,REGION,NETZ,ANLAGEN_NR,Zustand 2022
BW,SW,Stuttgart,21000046,schlecht
BW,SW,Karlsruhe,21000092,schlecht
BW,SW,Karlsruhe,21000151,schlecht
NW,W,Hagen,21000204,mangelhaft
NW,W,Hagen,21000206,schlecht
HH,N,Hamburg,21000427,schlecht
HH,N,Hamburg,21000879,schlecht
HH,N,Hamburg,21000889,schlecht
HH,N,Hamburg,21000935,schlecht
HH,N,Hamburg,21000950,mangelhaft
HH,N,Hamburg,21000962,schlecht
HH,N,Hamburg,21000963,schlecht
HH,N,Hamburg,21000967,schlecht
HH,N,Hamburg,21001001,mangelhaft
HH,N,Hamburg,21001011,schlecht
SH,N,Kiel,21001075,schlecht
HH,N,Hamburg,21001076,mangelhaft
SH,N,Kiel,21001081,schlecht
HH,N,Hamburg,21001082,schlecht
HH,N,Hamburg,21001083,mangelhaft
HH,N,Hamburg,21001160,schlecht
HH,N,Hamburg,21001169,schlecht
HH,N,Hamburg,21001172,mangelhaft
HH,N,Hamburg,21001195,mangelhaft
HH,N,Hamburg,21001199,mangelhaft
HH,N,Hamburg,21001202,mangelhaft
HH,N,Hamburg,21001203,mangelhaft
HH,N,Hamburg,21001291,mangelhaft
HH,N,Hamburg,21001293,mangelhaft
HH,N,Hamburg,21001516,schlecht
HH,N,Hamburg,21001582,mangelhaft
SH,N,Hamburg,21001688,schlecht
SH,N,Kiel,21001691,schlecht
SH,N,Kiel,21001695,schlecht
SH,N,Kiel,21001707,mangelhaft
SH,N,Hamburg,21001715,schlecht
HH,N,Hamburg,21001718,schlecht
HH,N,Hamburg,21001821,schlecht
HH,N,Hamburg,21001830,mangelhaft
HH,N,Hamburg,21001837,schlecht
NI,N,Hamburg,21001924,schlecht
NI,N,Hamburg,21002156,schlecht
HH,N,Hamburg,21002198,schlecht
HH,N,Hamburg,21002200,schlecht
NI,N,Bremen,21002206,mangelhaft
NI,N,Bremen,21002207,schlecht
NI,N,Hamburg,21002217,mangelhaft
NI,N,Bremen,21002266,mangelhaft
NI,N,Bremen,21002267,mangelhaft
NI,N,Bremen,21002268,mangelhaft
NI,N,Bremen,21002301,mangelhaft
NI,N,Bremen,21002335,schlecht
NI,N,Bremen,21002350,schlecht
HH,N,Hamburg,21002460,mangelhaft
NI,N,Hamburg,21002515,schlecht
NI,N,Hamburg,21002534,schlecht
NI,N,Bremen,21002567,schlecht
NI,N,Bremen,21002578,schlecht
NI,N,Bremen,21002590,mangelhaft
NI,N,Bremen,21002624,schlecht
NI,N,Hamburg,21003173,schlecht
NI,N,Hamburg,21003179,schlecht
SH,N,Kiel,21003242,mangelhaft
SH,N,Kiel,21003244,mangelhaft
SH,N,Kiel,21003245,mangelhaft
SH,N,Kiel,21003292,schlecht
SH,N,Kiel,21003295,schlecht
SH,N,Kiel,21003300,schlecht
